taskpool,user,date,value
taskpoola,wouterv,3/25/2017,0.083333333
taskpoola,wouterv,3/26/2017,0
taskpoola,wouterv,3/27/2017,7.916666667
taskpoola,wouterv,3/28/2017,6.083333333
taskpoola,wouterv,3/29/2017,7
taskpoola,wouterv,3/30/2017,8.25
taskpoola,wouterv,3/31/2017,5.5
taskpoola,wouterv,4/1/2017,0
taskpoola,wouterv,4/2/2017,0
taskpoola,wouterv,4/3/2017,6.833333333
taskpoola,wouterv,4/4/2017,7.416666667
taskpoola,wouterv,4/5/2017,6.75
taskpoola,wouterv,4/6/2017,6.5
taskpoola,wouterv,4/7/2017,8.583333333
taskpoola,wouterv,4/8/2017,0.333333333
taskpoola,wouterv,4/9/2017,0.25
taskpoola,wouterv,4/10/2017,9.5
taskpoola,wouterv,4/11/2017,8.333333333
taskpoola,wouterv,4/12/2017,9.333333333
taskpoola,wouterv,4/13/2017,7.416666667
taskpoola,wouterv,4/14/2017,8
taskpoola,wouterv,4/15/2017,0.333333333
taskpoola,wouterv,4/16/2017,0
taskpoola,wouterv,4/17/2017,8
taskpoola,wouterv,4/18/2017,9.25
taskpoola,wouterv,4/19/2017,6.916666667
taskpoola,wouterv,4/20/2017,8
taskpoola,wouterv,4/21/2017,7.666666667
taskpoola,wouterv,4/22/2017,0
taskpoola,wouterv,4/23/2017,0
taskpoola,wouterv,4/24/2017,8.5
taskpoola,wouterv,4/25/2017,8
taskpoola,wouterv,4/26/2017,7.916666667
taskpoola,wouterv,4/27/2017,3.166666667
taskpoola,wouterv,4/28/2017,5.5
taskpoola,wouterv,4/29/2017,0.083333333
taskpoola,wouterv,4/30/2017,0.25
taskpoola,wouterv,5/1/2017,6.583333333
taskpoola,wouterv,5/2/2017,7.333333333
taskpoola,wouterv,5/3/2017,8.833333333
taskpoola,wouterv,5/4/2017,6
taskpoola,wouterv,5/5/2017,8.083333333
taskpoola,wouterv,5/6/2017,0.5
taskpoola,wouterv,5/7/2017,0
taskpoola,wouterv,5/8/2017,8.75
taskpoola,wouterv,5/9/2017,6.333333333
taskpoola,wouterv,5/10/2017,6.333333333
taskpoola,wouterv,5/11/2017,4
taskpoola,wouterv,5/12/2017,7.416666667
taskpoola,wouterv,5/13/2017,0
taskpoola,wouterv,5/14/2017,0
taskpoola,wouterv,5/15/2017,5.933333333
taskpoola,wouterv,5/16/2017,6.083333333
taskpoola,wouterv,5/17/2017,8.916666667
taskpoola,wouterv,5/18/2017,7.416666667
taskpoola,wouterv,5/19/2017,6.25
taskpoola,wouterv,5/20/2017,0
taskpoola,wouterv,5/21/2017,0
taskpoola,wouterv,5/22/2017,9.416666667
taskpoola,wouterv,5/23/2017,5.583333333
taskpoola,wouterv,5/24/2017,5.916666667
taskpoola,wouterv,5/25/2017,5.583333333
taskpoola,wouterv,5/26/2017,9
taskpoola,wouterv,5/27/2017,0
taskpoola,wouterv,5/28/2017,0
taskpoola,wouterv,5/29/2017,6.583333333
taskpoola,wouterv,5/30/2017,6.333333333
taskpoola,wouterv,5/31/2017,8.25
taskpoola,wouterv,6/1/2017,3
taskpoola,wouterv,6/2/2017,7.583333333
taskpoola,wouterv,6/3/2017,0.25
taskpoola,wouterv,6/4/2017,0.25
taskpoola,wouterv,6/5/2017,8
taskpoola,wouterv,6/6/2017,7.75
taskpoola,wouterv,6/7/2017,15.75
taskpoola,wouterv,6/8/2017,8.25
taskpoola,wouterv,6/9/2017,7.666666667
taskpoola,wouterv,6/10/2017,0
taskpoola,wouterv,6/11/2017,0
taskpoola,wouterv,6/12/2017,5.583333333
taskpoola,wouterv,6/13/2017,7.416666667
taskpoola,wouterv,6/14/2017,6.25
taskpoola,wouterv,6/15/2017,8.416666667
taskpoola,wouterv,6/16/2017,5.5
taskpoola,wouterv,6/17/2017,0
taskpoola,wouterv,6/18/2017,0
taskpoola,wouterv,6/19/2017,5.916666667
taskpoola,wouterv,6/20/2017,7.833333333
taskpoola,wouterv,6/21/2017,5.333333333
taskpoola,wouterv,6/22/2017,8.333333333
taskpoola,wouterv,6/23/2017,8.666666667
taskpoola,wouterv,6/24/2017,0
taskpoola,wouterv,6/25/2017,0
taskpoola,wouterv,6/26/2017,7.333333333
taskpoola,wouterv,6/27/2017,6.666666667
taskpoola,wouterv,6/28/2017,7.25
taskpoola,wouterv,6/29/2017,6.416666667
taskpoola,wouterv,6/30/2017,0
taskpoola,adamf,1/1/2017,0
taskpoola,adamf,1/2/2017,8
taskpoola,adamf,1/3/2017,8
taskpoola,adamf,1/4/2017,8
taskpoola,adamf,1/5/2017,1.3
taskpoola,adamf,1/6/2017,1.35
taskpoola,adamf,1/7/2017,0
taskpoola,adamf,1/8/2017,0
taskpoola,adamf,1/9/2017,8
taskpoola,adamf,1/10/2017,8
taskpoola,adamf,1/11/2017,0.8
taskpoola,adamf,1/12/2017,1.516666667
taskpoola,adamf,1/13/2017,8
taskpoola,adamf,1/14/2017,0
taskpoola,adamf,1/15/2017,0
taskpoola,adamf,1/16/2017,3.933333333
taskpoola,adamf,1/17/2017,0.383333333
taskpoola,adamf,1/18/2017,0.283333333
taskpoola,adamf,1/19/2017,15.11666667
taskpoola,adamf,1/20/2017,2.216666667
taskpoola,adamf,1/21/2017,0
taskpoola,adamf,1/22/2017,0
taskpoola,adamf,1/23/2017,3.566666667
taskpoola,adamf,1/24/2017,0
taskpoola,adamf,1/25/2017,8.95
taskpoola,adamf,1/26/2017,3.4
taskpoola,adamf,1/27/2017,0.433333333
taskpoola,adamf,1/28/2017,0
taskpoola,adamf,1/29/2017,0
taskpoola,adamf,1/30/2017,1.416666667
taskpoola,adamf,1/31/2017,5.183333333
taskpoola,adamf,2/1/2017,3.233333333
taskpoola,adamf,2/2/2017,2.333333333
taskpoola,adamf,2/3/2017,4.116666667
taskpoola,adamf,2/4/2017,1.5
taskpoola,adamf,2/5/2017,0
taskpoola,adamf,2/6/2017,8
taskpoola,adamf,2/7/2017,1.933333333
taskpoola,adamf,2/8/2017,5.85
taskpoola,adamf,2/9/2017,8.516666667
taskpoola,adamf,2/10/2017,0
taskpoola,adamf,2/11/2017,0
taskpoola,adamf,2/12/2017,0
taskpoola,adamf,2/13/2017,4.316666667
taskpoola,adamf,2/14/2017,2.483333333
taskpoola,adamf,2/15/2017,1.216666667
taskpoola,adamf,2/16/2017,0.933333333
taskpoola,adamf,2/17/2017,0.866666667
taskpoola,adamf,2/18/2017,0
taskpoola,adamf,2/19/2017,0
taskpoola,adamf,2/20/2017,0.1
taskpoola,adamf,2/21/2017,2.633333333
taskpoola,adamf,2/22/2017,8
taskpoola,adamf,2/23/2017,1.066666667
taskpoola,adamf,2/24/2017,1.8
taskpoola,adamf,2/25/2017,0
taskpoola,adamf,2/26/2017,0
taskpoola,adamf,2/27/2017,1.2
taskpoola,adamf,2/28/2017,1.65
taskpoola,adamf,3/1/2017,1.483333333
taskpoola,adamf,3/2/2017,0.733333333
taskpoola,adamf,3/3/2017,0.466666667
taskpoola,adamf,3/4/2017,0
taskpoola,adamf,3/5/2017,0
taskpoola,adamf,3/6/2017,1.333333333
taskpoola,adamf,3/7/2017,3.983333333
taskpoola,adamf,3/8/2017,8.083333333
taskpoola,adamf,3/9/2017,0.75
taskpoola,adamf,3/10/2017,0.45
taskpoola,adamf,3/11/2017,0.75
taskpoola,adamf,3/12/2017,0
taskpoola,adamf,3/13/2017,4.166666667
taskpoola,adamf,3/14/2017,1.5
taskpoola,adamf,3/15/2017,0
taskpoola,adamf,3/16/2017,2.266666667
taskpoola,adamf,3/17/2017,1.266666667
taskpoola,adamf,3/18/2017,0
taskpoola,adamf,3/19/2017,0
taskpoola,adamf,3/20/2017,3.333333333
taskpoola,adamf,3/21/2017,6.916666667
taskpoola,adamf,3/22/2017,1.366666667
taskpoola,adamf,3/23/2017,1.85
taskpoola,adamf,3/24/2017,5.4
taskpoola,adamf,3/25/2017,0
taskpoola,adamf,3/26/2017,0
taskpoola,adamf,3/27/2017,7.166666667
taskpoola,adamf,3/28/2017,3.816666667
taskpoola,adamf,3/29/2017,1.45
taskpoola,adamf,3/30/2017,2.233333333
taskpoola,adamf,3/31/2017,2.05
taskpoola,adamf,4/1/2017,0
taskpoola,adamf,4/2/2017,0
taskpoola,adamf,4/3/2017,3.033333333
taskpoola,adamf,4/4/2017,4.066666667
taskpoola,adamf,4/5/2017,2
taskpoola,adamf,4/6/2017,2.166666667
taskpoola,adamf,4/7/2017,2.666666667
taskpoola,adamf,4/8/2017,0
taskpoola,adamf,4/9/2017,0
taskpoola,adamf,4/10/2017,8.583333333
taskpoola,adamf,4/11/2017,8.583333333
taskpoola,adamf,4/12/2017,8
